HoraEDT,TemperaturaC,Punto de rocíoC,Humedad,Presión al nivel del marhPa,VisibilidadKm,Wind Direction,Velocidad del vientoKm/h,Velocidad de ráfagasKm/h,Precipitaciónmm,Eventos,Conditions,WindDirDegrees,DateUTC
12:53 AM,27.8,25.0,85,1019.2,16.1,Este,5.6,-,N/A,,Nubes dispersas,90,2016-07-22 04:53:00
1:53 AM,27.8,24.4,82,1018.8,16.1,Este,9.3,-,N/A,,Muy nublado,90,2016-07-22 05:53:00
2:53 AM,27.8,25.0,85,1018.2,16.1,NE,7.4,-,N/A,,Nubes dispersas,50,2016-07-22 06:53:00
3:53 AM,27.8,25.0,85,1017.8,16.1,Calm,Calm,-,N/A,,Nubes dispersas,0,2016-07-22 07:53:00
4:53 AM,27.2,23.3,79,1017.5,16.1,Calm,Calm,-,0.00,,Nubes dispersas,0,2016-07-22 08:53:00
5:53 AM,26.7,23.3,81,1017.6,16.1,Este,5.6,-,N/A,,Nubes dispersas,90,2016-07-22 09:53:00
6:53 AM,27.2,24.4,85,1017.7,16.1,Calm,Calm,-,N/A,,Muy nublado,0,2016-07-22 10:53:00
7:53 AM,28.3,25.0,82,1018.0,16.1,Este,7.4,-,N/A,,Muy nublado,100,2016-07-22 11:53:00
8:53 AM,29.4,25.0,77,1017.8,16.1,ESE,13.0,-,N/A,,Muy nublado,120,2016-07-22 12:53:00
9:53 AM,30.6,23.9,67,1018.5,16.1,SE,13.0,-,N/A,,Muy nublado,130,2016-07-22 13:53:00
10:53 AM,30.0,23.9,70,1018.8,16.1,ESE,13.0,-,N/A,,Muy nublado,120,2016-07-22 14:53:00
11:53 AM,31.1,25.0,70,1018.9,16.1,ESE,16.7,-,N/A,,Muy nublado,110,2016-07-22 15:53:00
12:53 PM,31.1,23.3,63,1018.4,16.1,Este,16.7,-,N/A,,Muy nublado,100,2016-07-22 16:53:00
1:04 PM,31.7,22.8,59,1018.2,16.1,ESE,14.8,-,N/A,Tormenta,Tormenta,110,2016-07-22 17:04:00
1:53 PM,30.6,23.3,65,1018.0,16.1,ESE,18.5,-,N/A,Tormenta,Tormenta,110,2016-07-22 17:53:00
2:53 PM,27.2,22.2,74,1018.7,16.1,NO,13.0,-,N/A,Tormenta,Tormenta,310,2016-07-22 18:53:00
3:44 PM,25.0,23.9,94,1018.2,16.1,ONO,11.1,-,0.03,Tormenta,Tormenta,290,2016-07-22 19:44:00
3:53 PM,25.0,23.3,90,1017.9,12.9,Variable,5.6,-,0.03,Lluvia-Tormenta,Tormenta débil,0,2016-07-22 19:53:00
4:40 PM,25.6,23.3,87,1017.5,14.5,ONO,11.1,-,0.01,Lluvia,Lluvia débil,300,2016-07-22 20:40:00
4:53 PM,25.6,23.3,87,1017.5,14.5,ONO,11.1,-,0.01,Lluvia,Lluvia débil,300,2016-07-22 20:53:00
5:53 PM,26.7,22.2,76,1017.5,16.1,Norte,5.6,-,0.00,,Muy nublado,350,2016-07-22 21:53:00
6:53 PM,26.7,22.8,79,1017.2,16.1,Norte,5.6,-,N/A,,Muy nublado,350,2016-07-22 22:53:00
